Fecha,Hora,Comuna,Accdtes.,Causas,Muertos,Graves,Menos Graves,Leves,Ilesos,Urbano/Rural,Calleuno,Calledos,Frentenumero,Ruta,Ubicación km,Direccion,Latitud,Longitud
07/04/2017,17:50,IQUIQUE,Choque,Conducción en estado de ebriedad,0,0,0,0,1,URBANO,ARTURO PRAT,,57,,,"IQUIQUE, ARTURO PRAT, 57",-20.2075511,-70.1500666
07/04/2017,20:00,IQUIQUE,Colisión,Causas no determinadas,0,0,0,0,1,URBANO,ARTURO PRAT,CALLE UNO,,,,"IQUIQUE, ARTURO PRAT, CALLE UNO",-20.2484469,-70.1381101
07/04/2017,21:30,IQUIQUE,Choque,Conducción no atento condiciones transito momento,0,0,0,0,1,URBANO,BELLAVISTA,ARTURO PRAT,,,,"IQUIQUE, BELLAVISTA, ARTURO PRAT",-20.2307033,-70.1356692
08/04/2017,02:20,IQUIQUE,Choque,Conducción en estado de ebriedad,0,0,0,0,2,URBANO,LA TIRANA,MANUEL CASTRO RAMOS,,,,"IQUIQUE, LA TIRANA, MANUEL CASTRO RAMOS",-20.2444412,-70.1282904
08/04/2017,03:30,IQUIQUE,Caída,Conducción en estado de ebriedad,0,1,0,0,1,URBANO,ARTURO PRAT,,3783,,,"IQUIQUE, ARTURO PRAT, 3783",-20.267868,-70.1296128
08/04/2017,05:20,ALTO HOSPICIO,Colisión,Conducción en estado de ebriedad,0,1,0,0,1,URBANO,CALLE TRONCAL,,3055,,,"ALTO HOSPICIO, CALLE TRONCAL, 3055",-20.2741934,-70.0946413
08/04/2017,05:55,ALTO HOSPICIO,Choque,Conducción en estado de ebriedad,0,0,0,1,0,URBANO,LAS AMERICAS,ESTADOS UNIDOS,,,,"ALTO HOSPICIO, LAS AMERICAS, ESTADOS UNIDOS",-20.2913348,-70.1046753
08/04/2017,17:50,IQUIQUE,Choque,Adelantamiento sin el espacio y tiempo suficiente,0,0,0,0,1,URBANO,JOSE MIGUEL CARRERA,,968,,,"IQUIQUE, JOSE MIGUEL CARRERA, 968",-20.2263277,-70.1463003
09/04/2017,05:20,IQUIQUE,Choque,Perdida control vehículo,0,2,0,1,0,URBANO,ARTURO PRAT,,4512,,,"IQUIQUE, ARTURO PRAT, 4512",-20.2481527,-70.1380287
09/04/2017,05:48,IQUIQUE,Choque,Perdida control vehículo,0,0,0,2,1,URBANO,ARTURO PRAT,,355,,,"IQUIQUE, ARTURO PRAT, 355",-20.2116464,-70.1516802
09/04/2017,14:15,ALTO HOSPICIO,Choque,Conducción no atento condiciones transito momento,0,0,0,0,2,URBANO,RAMON PEREZ OPAZO,,3057,,,"ALTO HOSPICIO, RAMON PEREZ OPAZO, 3057",-20.2664033,-70.1033235
09/04/2017,15:00,IQUIQUE,Colisión,Causas no determinadas,0,0,0,0,1,URBANO,PROGRESO,JUAN GIRADO,,,,"IQUIQUE, PROGRESO, JUAN GIRADO",-20.2243231,-70.1331496
09/04/2017,20:10,IQUIQUE,Colisión,Conducción sin mantener distancia razonable ni prudente,0,0,0,0,1,URBANO,GENARO GALLO,RIQUELME,,,,"IQUIQUE, GENARO GALLO, RIQUELME",-20.2221154,-70.1367067
